[13 Apr 2015]  [08:27:42]  ** GUE startup log begins **
[08:27:42]  Initialising windowed graphics mode
[08:27:43]  Loading splash screen
[08:27:43]  Creating media dialogs
[08:27:44]  Loading game interface settings
[08:27:44]  Loading emitter configurations
[08:27:44]  Loading damage types
[08:27:44]  Loading attributes
[08:27:44]  Loading factions
[08:27:45]  Loading animations
[08:27:45]  Loading projectiles
[08:27:45]  Loading items
[08:27:45]  Loading actors
[08:27:45]  Loading abilities
[08:27:45]  Loading server-side zones
[08:27:45]  Loading environment settings
[08:27:45]  Loading suns/moons
[08:27:45]  Creating border meshes
[08:27:45]  Creating main window
[08:27:45]  Creating project tab
[08:27:45]  Creating media tab
[08:27:45]  Creating particles tab
[08:27:45]  Creating combat tab
[08:27:46]  Creating projectiles tab
[08:27:46]  Creating factions tab
[08:27:46]  Creating animations tab
[08:27:46]  Creating attributes tab
[08:27:46]  Creating actors tab
[08:27:47]  Creating items tab
[08:27:49]  Creating seasons tab
[08:27:49]  Creating zones tab
[08:27:50]  Creating abilities tab
[08:27:50]  Creating interface tab
[08:27:50]  Creating host options
[08:27:50]  Creating game options
[08:27:50]  Creating money options
[08:27:50]  Initialising gadgets
[08:27:56]  Creating skyspheres
[08:27:56]  Performing final initialisation
[08:27:56]  ** GUE loading complete **
